,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id
13346,13346,a50,b307,Nan and Byron's,Charlotte,28203,291,35.212521,-80.857639,3.5,1714 S Blvd,0,LIvXzdMJrIb6IY5Y3tqicA,Bad Daddy's,Charlotte,28203,1363,35.199007,-80.8408317,4.6,1626 East Boulevard$*$ Charlotte$*$ NC 28203,17148552,0
13593,13593,a4718,b392,Sullivan's Steakhouse,Charlotte,28203,185,35.2102729,-80.8600584,4.0,1928 South Blvd$*$ Ste 200,0,UByM7N0mF-ylIGUuIWHCtA,Sullivan's Steakhouse,Charlotte,28203,486,35.210526,-80.859246,4.1,1928 South Boulevard$*$ Charlotte$*$ NC 28203,17148288,0
13674,13674,a6254,b397,Thai Thai Takeout,Charlotte,28203,90,35.1999856,-80.844183,3.5,1412-C East Blvd,0,EPBEz9ifFo6JqPUUH_BdMg,Thai Taste,Charlotte,28203,459,35.210508,-80.856277,4.1,324 East Boulevard$*$ Dilworth$*$ Charlotte$*$ NC 28203,17148369,0
13688,13688,a6316,b312,Price's Chicken Coop,Charlotte,28203,302,35.2143631,-80.8575705,4.0,1614 Camden Rd,0,_5UAFrD3EDgJO1aZgRxH7w,Price's Chicken Coop,Charlotte,28203,1093,35.214563,-80.857329,4.5,1614 Camden Road$*$ Charlotte$*$ NC 28203,17147994,0
13690,13690,a6316,b333,Price's Chicken Coop,Charlotte,28203,302,35.2143631,-80.8575705,4.0,1614 Camden Rd,0,_5UAFrD3EDgJO1aZgRxH7w,Mac's Speed Shop,Charlotte,28203,1673,35.202942,-80.864358,4.3,2511 South Boulevard$*$ Charlotte$*$ NC 28203,17147666,0
13739,13739,a7139,b332,Sauceman's,Charlotte,28203,201,35.21395777,-80.8612243,4.0,228 W Blvd,0,ny8YcGEViSGKWxo69xfiiA,Ru Sans,Charlotte,28203,1182,35.197861,-80.851802,4.3,2440 Park Road$*$ Charlotte$*$ NC 28203,17148099,0
13943,13943,a10409,b392,Outback Steakhouse,Charlotte,28203,45,35.200356,-80.8435928,3.0,1412 East Blvd$*$ Ste A,0,G8WVrozcBBKZozhU7Gf6zA,Sullivan's Steakhouse,Charlotte,28203,486,35.210526,-80.859246,4.1,1928 South Boulevard$*$ Charlotte$*$ NC 28203,17148288,0
14185,14185,a18658,b400,Fidelli Kitchen,Charlotte,28203,11,35.2142559,-80.857754,4.5,1616 Camden Rd$*$ Ste 100,0,tdo6JvAKwmMAKU8T5jfORw,Luna's Living Kitchen,Charlotte,28203,244,35.208548,-80.86153,4.1,2102 South Boulevard$*$ Suite 300$*$ Charlotte$*$ NC 28203,17150072,0
14579,14579,a25978,b332,Shu Salon,Charlotte,28203,3,35.216533,-80.856083,3.5,1426 S Tryon St,0,v-bEPfF6jdrTOfvsnrb4xA,Ru Sans,Charlotte,28203,1182,35.197861,-80.851802,4.3,2440 Park Road$*$ Charlotte$*$ NC 28203,17148099,0
14761,14761,a27676,b336,1100 South,Charlotte,28203,7,35.2177876,-80.8505244,3.5,1100 South Blvd,0,yEWw0xIYQ_CCikn9Ob480A,300 East,Charlotte,28203,617,35.210862,-80.856527,4.3,300 East Boulevard$*$ Charlotte$*$ NC 28203,17146635,0
