ID,name,address,city,zipcode,latitude,longitude,review_count,rating,zomato_id,yelp_id
b1076,Dua Vietnamese Noodle Soup,53 Broad Street NW$*$ Downtown$*$ Atlanta$*$ GA 30303,Atlanta,30303,33.7554514,-84.389352,322,4.4,16902632,0
b1077,Jalisco,2337 Peachtree Road NE$*$ Peachtree Hills$*$ Atlanta$*$ GA 30305,Atlanta,30305,33.818757,-84.388573,373,4.4,16895563,0
b1078,El Jinete Mexican,3303 Centerville Hwy$*$ Snellville$*$ GA 30039,Atlanta,30039,33.8134677,-84.0435029,319,4.4,16895394,0
b1079,Mustard Seed BBQ,826 Westmont Road SW$*$ Atlanta$*$ GA 30310,Atlanta,30310,33.732796,-84.4370914,261,4.4,16906295,0
b1080,Mary Mac's Tea Room,224 Ponce De Leon Avenue NE$*$ Atlanta$*$ GA 30308,Atlanta,30308,33.7728589,-84.379878,1229,4.3,16895682,0
b1081,Ecco,40 7th Street NE$*$ Midtown$*$ GA 30308,Atlanta,30308,33.7788328,-84.3858802,1143,4.3,16894544,0
b1082,Rathbun's,112 Krog Street NE$*$ Inman Park$*$ Atlanta$*$ GA 30307,Atlanta,30307,33.7561718,-84.3647818,1132,4.3,16894539,0
b1083,Eclipse di Luna,4505 Ashford Dunwoody Road NE$*$ Atlanta$*$ GA 30346,Atlanta,30346,33.9250211,-84.3361199,1069,4.3,16894710,0
b1084,Pappadeaux Seafood Kitchen,2830 Windy Hill Road SE$*$ Marietta$*$ GA 30067,Atlanta,30067,33.9031894,-84.470352,824,4.3,16894888,0
b1085,Houston's,3321 Lenox Road NE$*$ Buckhead$*$ Atlanta$*$ GA 30326,Atlanta,30326,33.846004,-84.35827,640,4.3,16898856,0
b1086,Chops Lobster Bar,70 W Paces Ferry Road NW$*$ Buckhead$*$ Atlanta$*$ GA 30305,Atlanta,30305,33.8398766,-84.381883,661,4.3,16894543,0
b1087,The Flying Biscuit Cafe,1655 McLendon Ave.$*$ Atlanta$*$ GA,Atlanta,,33.764672,-84.3331937,581,4.3,16894737,0
b1088,Alpine Bakery and Trattoria,12315 Crabapple Road$*$ Alpharetta$*$ Atlanta$*$ GA 30004,Atlanta,30004,34.083497,-84.3556517,817,4.3,16895140,0
b1089,Sushi Nami.,5316 Windward Pkwy$*$ Alpharetta$*$ GA 30004,Atlanta,30004,34.0887756,-84.2717059,782,4.3,16895974,0
b1090,Kevin Rathbun Steak,154 Krog Street NE$*$ Suite 200$*$ Inman Park$*$ Atlanta$*$ GA 30307,Atlanta,30307,33.7586154,-84.3638599,570,4.3,16895590,0
b1091,Big Pie In The Sky Pizzeria,2090 Baker Road NW$*$ Suite 103$*$ Kennesaw$*$ GA 30144,Atlanta,30144,34.0492438,-84.6107305,809,4.3,16896805,0
b1092,Muss & Turners,1675 Cumberland Parkway SE$*$Suite 309$*$Smyrna$*$ Atlanta$*$ GA 30080,Atlanta,30080,33.849301,-84.492846,532,4.3,16894849,0
b1093,Ormsby's,1170 Howell Mill Road NW$*$ Atlanta$*$ GA 30318,Atlanta,30318,33.7859903,-84.4120101,463,4.3,16906881,0
b1094,Surin of Thailand,810 N Highland Ave NE$*$ Atlanta$*$ GA 30306,Atlanta,30306,33.7765666,-84.352684,577,4.3,16895970,0
b1095,Alon's Bakery and Market,1394 N Highland Ave NE$*$ Atlanta$*$ GA 30306,Atlanta,30306,33.7925868,-84.352866,649,4.3,16894612,0
b1096,Local Three Kitchen & Bar,3290 Northside Parkway$*$ Suite 120$*$ GA 30327,Atlanta,30327,33.8448439,-84.4271538,525,4.3,16907663,0
b1097,Canton Cooks,5984 Roswell Road NE$*$ Sandy Springs$*$ Atlanta$*$ GA 30328,Atlanta,30328,33.918467,-84.379219,797,4.3,16894667,0
b1098,Pampas Steakhouse,10970 State Bridge Road$*$ Johns Creek$*$ GA 30022,Atlanta,30022,34.0481257,-84.2248724,759,4.3,16895101,0
b1099,Sotto Sotto,313 N Highland Avenue NE$*$ Inman Park$*$ Atlanta$*$ GA 30307,Atlanta,30307,33.7630097,-84.3576697,540,4.3,16894540,0
b1100,Fickle Pickle,1085 Canton Street$*$ Roswell$*$ GA 30075,Atlanta,30075,34.0281853,-84.3612054,599,4.3,16894728,0
b1101,Ghirardelli Ice Cream and Chocolate Shop,Ghirardelli Square$*$ 900 North Point Street$*$ San Francisco$*$ CA 94109,San Francisco,94109,37.80580833,-122.4222722,395,4.9,16843902,0
