ID,name,address,city,zipcode,latitude,longitude,review_count,rating,zomato_id,yelp_id,wifi,restaurantsreservations,businessparking,wheelchairaccessible,outdoorseating,is_expensive
53959,Vincent's On Camelback,3930 East Camelback Road$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.5101679,-111.9965101,343,4,17029906,Tl2nqtPXlLbAG3qkUYVM2g,0,1,1,1,1,1
54686,O.H.S.O. Eatery + NanoBrewery,4900 East Indian School Road$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.495018,-111.975898,1127,4.017746229,17033008,mnwRtuVQEsIUomBchu0gwg,1,0,1,1,1,0
56548,The Vig,4041 N 40th St$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.49421,-111.995215,924,4.037770563,17029878,flE7Sn2JGs0n3SAtaep6Zw,1,0,1,1,1,0
57633,Postino Arcadia,3939 East Campbell Avenue$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,Phoenix,85018,33.50223705,-111.9964278,2266,4.651191527,17028658,u-SJ5QUwrNquL9VnXwl8cg,1,1,1,1,1,0
57775,Sushi Tachi,2745 W Centennial Pkwy #130$*$ North Las Vegas$*$ NV 89084,Las Vegas,89084,36.27623173,-115.1779442,577,3.828769497,16981349,xrBQKZbhJMCtaZxeJ0tzTQ,0,1,1,1,0,0
59530,Kaya,2000 Smallman St$*$ Pittsburgh$*$ PA 15222,Pittsburgh,15222,40.45167715,-79.984331,2300,4.399347826,17036710,Ul6JwluSTm12PVDIqnNaTg,1,1,1,1,1,1
59614,Deluca's Diner,2015 Penn Ave$*$ Pittsburgh$*$ PA 15222,Pittsburgh,15222,40.45144955,-79.9838204,1566,4.220881226,17036305,oeW0vIYd3rUnAPgmD4fEFg,0,1,1,1,0,0
59901,Eleven,1150 Smallman St$*$ Pittsburgh$*$ PA 15222,Pittsburgh,15222,40.4459523,-79.99346015,1811,4.289342904,17036383,d2ZQRjuizstCTnicysmpMQ,1,1,1,1,1,1
60045,Chicken Latino,155 21st St$*$ Pittsburgh$*$ PA 15222,Pittsburgh,15222,40.45166264,-79.98313396,554,4.222563177,17037721,Chr3YCuvt2mD-BHgqeo-OA,0,0,1,1,1,0
61533,Gaucho Parrilla Argentina,1607 Penn Ave$*$ Pittsburgh$*$ PA 15222,Pittsburgh,15222,40.44906,-79.987546,1450,4.467931034,17042997,u4sTiCzVeIHZY8OlaL346Q,0,0,1,0,1,0
63056,Meat & Potatoes,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,Pittsburgh,15222,40.44312315,-80.0011637,3114,4.119781631,17042327,JLbgvGM4FXh9zNP4O5ZWjQ,1,1,1,1,1,1
63762,KINKA IZAKAYA BLOOR,559 Bloor Street West$*$ ON M5S 1Y6,Toronto,M5S 1Y6,43.66522156,-79.41063178,1176,4.505952381,8907790,CN5nuUQod0f8g3oh99qq0w,0,1,1,0,0,0
63953,La Mestiza,6644 Odana Road$*$ Madison$*$ WI 53719,Madison,53719,43.056069,-89.49469755,341,4,17502327,wEisic-u9Yj543iYzfpAhw,1,1,1,1,0,0
64816,Sa-Bai Thong West,6802 Odana Rd$*$ Madison$*$ WI 53719,Madison,53719,43.05716305,-89.5002213,246,3.745528455,17504097,rdXAuI2fKilcf65W-QoASQ,0,1,1,1,0,0
64964,Thai Noodles,5957 Mckee Rd$*$ Fitchburg$*$ WI 53719,Madison,53719,43.01510696,-89.4577013,574,4.446689895,17503422,56KQVyOg8eGtwLIgrV51NA,0,0,1,0,0,0
65030,Quivey's Grove,6261 Nesbitt Rd$*$ Fitchburg$*$ WI 53719,Madison,53719,43.00901,-89.48012865,383,3.847258486,17501797,Zzvjuyxr1iudPN_heAAygw,0,1,1,1,1,1
